Ensembl_ID,Protein_Accession,Gene,Gene_Description,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
ENSG00000169515,Q9H0W5,CCDC8,coiled-coil domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25367],-0.310,0.131,0.078,0.548,1.37E-01,5.82E-01,6.90E-01,1.28E-01
ENSG00000091986,Q76M96,CCDC80,coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649],-2.528,0.579,0.482,-0.772,1.51E-03,2.41E-02,5.80E-02,5.38E-02
ENSG00000149231,A0A2R8YE98,CCDC82,coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282],0.829,-0.176,0.032,0.043,3.10E-03,7.40E-01,8.94E-01,8.25E-01
ENSG00000110104,Q9H6F5,CCDC86,coiled-coil domain containing 86 [Source:HGNC Symbol;Acc:HGNC:28359],0.771,-0.601,-0.704,0.065,6.37E-05,1.16E-02,1.01E-02,4.25E-01
ENSG00000115355,A0A2R8YG73,CCDC88A,coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523],-0.651,-0.234,-0.288,-0.283,6.87E-06,1.51E-01,1.90E-02,1.52E-01
ENSG00000105321,A0A2R8Y4Z8,CCDC9,coiled-coil domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24560],-0.410,-0.154,-0.148,-0.079,1.93E-04,2.09E-02,3.44E-02,1.02E-01
ENSG00000137500,Q9GZT6,CCDC90B,coiled-coil domain containing 90B [Source:HGNC Symbol;Acc:HGNC:28108],0.180,0.072,0.186,0.288,2.47E-01,6.40E-01,3.88E-01,1.49E-01
ENSG00000123106,Q7Z6B0,CCDC91,coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855],-0.083,0.485,0.007,0.042,2.11E-01,6.77E-03,9.20E-01,8.13E-01
ENSG00000125633,F8W9X7,CCDC93,coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611],-0.546,-0.234,-0.162,-0.408,1.17E-02,1.63E-01,2.58E-01,7.48E-02
ENSG00000142039,Q96F63,CCDC97,coiled-coil domain containing 97 [Source:HGNC Symbol;Acc:HGNC:28289],2.201,0.428,0.084,0.305,1.06E-05,2.92E-02,4.49E-01,8.94E-02
ENSG00000188549,Q6ZUT6,CCDC9B,coiled-coil domain containing 9B [Source:HGNC Symbol;Acc:HGNC:33488],-2.632,-0.215,-0.197,-0.345,7.66E-04,1.86E-01,2.02E-01,1.04E-01
ENSG00000163394,P32238,CCKAR,cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570],0.604,0.529,0.413,0.419,4.30E-02,4.11E-02,3.40E-01,9.04E-02
ENSG00000136280,Q9BSQ5,CCM2,CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708],-0.516,0.492,0.676,-0.223,7.59E-03,2.92E-02,1.02E-01,1.56E-01
ENSG00000142871,O00622,CCN1,cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654],-1.243,-0.031,-0.131,-0.622,3.72E-03,7.01E-01,3.74E-01,6.40E-02
ENSG00000118523,P29279,CCN2,cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500],-0.905,-1.321,0.228,-0.692,2.40E-03,7.04E-03,1.60E-01,3.38E-02
ENSG00000145386,P20248,CCNA2,cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578],1.730,-1.301,-0.017,0.912,3.40E-03,4.44E-01,7.83E-01,1.11E-01
ENSG00000134057,P14635,CCNB1,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579],2.928,-0.708,-0.158,0.489,3.29E-05,7.86E-02,7.68E-01,6.00E-02
ENSG00000157456,O95067,CCNB2,cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580],2.050,-0.716,-0.106,0.588,2.05E-04,4.52E-01,8.94E-01,1.64E-01
ENSG00000110092,P24385,CCND1,cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582],-2.770,-1.100,-0.098,-0.957,4.77E-04,5.12E-03,4.90E-01,1.82E-02
ENSG00000166946,O95273,CCNDBP1,cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587],-1.626,0.746,0.553,0.027,9.75E-04,2.92E-03,2.05E-02,8.37E-01
ENSG00000134480,D6RG18,CCNH,cyclin H [Source:HGNC Symbol;Acc:HGNC:1594],0.770,-0.715,-0.478,0.561,2.41E-03,1.08E-01,2.25E-01,5.37E-02
ENSG00000129315,O60563,CCNT1,cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599],0.590,-0.063,-0.010,0.332,7.67E-03,9.06E-01,7.63E-01,1.02E-01
ENSG00000108100,Q8ND76,CCNY,cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354],-0.670,-0.165,-0.204,-0.297,1.81E-02,3.67E-01,2.92E-01,1.63E-01
ENSG00000163249,Q8N7R7,CCNYL1,cyclin Y like 1 [Source:HGNC Symbol;Acc:HGNC:26868],-0.177,0.243,-0.008,-0.585,1.26E-01,1.59E-01,8.31E-01,4.22E-02
ENSG00000260916,Q9ULG6,CCPG1,cell cycle progression 1 [Source:HGNC Symbol;Acc:HGNC:24227],-1.074,0.169,-0.087,-0.327,2.02E-03,3.86E-01,5.01E-01,9.72E-02
ENSG00000173992,J3KNF4,CCS,copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:HGNC:1613],-0.088,0.247,-0.307,-0.387,2.37E-01,9.31E-02,6.40E-02,8.04E-02
ENSG00000166226,P78371,CCT2,chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615],-0.035,0.179,0.250,0.229,3.01E-01,5.10E-02,2.85E-02,9.34E-02
ENSG00000163468,P49368,CCT3,chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616],0.051,0.029,0.091,0.215,1.30E-01,5.90E-01,9.38E-02,2.26E-02
ENSG00000115484,P50991,CCT4,chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617],0.135,-0.085,-0.045,0.202,3.05E-02,3.11E-01,5.55E-01,4.36E-02
ENSG00000150753,P48643,CCT5,chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618],0.015,0.044,0.192,0.153,5.44E-01,3.55E-01,3.50E-02,5.05E-02
ENSG00000146731,P40227,CCT6A,chaperonin containing TCP1 subunit 6A [Source:HGNC Symbol;Acc:HGNC:1620],-0.133,0.100,0.192,0.242,9.91E-03,4.99E-02,1.46E-02,1.18E-01
ENSG00000132141,Q92526,CCT6B,chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621],1.438,0.775,0.665,0.068,2.86E-03,2.79E-02,1.55E-01,9.45E-01
ENSG00000135624,Q99832,CCT7,chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622],0.046,0.074,0.163,0.214,2.73E-01,1.76E-01,3.05E-02,7.15E-02
ENSG00000156261,P50990,CCT8,chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623],0.184,-0.058,-0.003,0.095,4.31E-03,3.30E-01,9.56E-01,9.37E-02
ENSG00000146574,P86790,CCZ1B,"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated [Source:HGNC Symbol;Acc:HGNC:21717]",0.241,0.060,-0.131,-0.093,7.88E-03,6.86E-01,8.94E-02,1.43E-01
ENSG00000156535,Q6YHK3,CD109,CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685],-1.442,0.147,-0.124,-0.823,8.52E-03,7.90E-01,4.75E-01,7.65E-02
ENSG00000177697,K4DIA7,CD151,CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630],-2.327,-0.212,-0.357,-0.659,7.50E-03,4.19E-01,2.68E-01,1.20E-01
ENSG00000174807,Q9HCU0,CD248,CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219],-3.462,0.029,-0.271,-0.867,5.85E-03,8.81E-01,3.53E-01,9.51E-02
ENSG00000103855,Q5ZPR3,CD276,CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137],-0.278,-0.120,0.049,0.175,6.23E-03,1.04E-01,4.68E-01,5.11E-02
ENSG00000198087,Q9Y5K6,CD2AP,CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258],1.098,-0.442,-0.166,-0.285,1.35E-05,7.91E-03,7.63E-02,3.35E-02
ENSG00000169217,O95400,CD2BP2,CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656],0.600,-0.372,-0.276,0.114,5.94E-03,2.24E-01,3.88E-01,4.00E-01
ENSG00000026508,H0YD13,CD44,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],-3.037,-0.648,-0.255,-0.201,1.30E-04,5.48E-03,5.03E-02,7.74E-02
ENSG00000117335,P15529,CD46,CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953],0.380,-0.132,-0.253,-0.497,3.44E-01,7.16E-01,5.22E-01,2.78E-01
ENSG00000196776,Q08722,CD47,CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682],-0.894,0.122,-0.317,-0.597,1.53E-02,8.10E-01,2.12E-01,9.13E-02
ENSG00000085063,A0A2U3TZL5,CD59,CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689],-1.843,0.224,0.233,-0.257,7.66E-04,3.56E-01,3.47E-01,2.24E-01
ENSG00000135404,F8VWK8,CD63,CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692],-2.018,0.272,-0.230,-0.566,4.28E-03,3.99E-01,3.00E-01,9.99E-02
ENSG00000110651,P60033,CD81,CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701],-1.144,0.221,-0.892,-1.012,3.76E-02,7.90E-01,1.36E-01,1.06E-01
ENSG00000010278,A0A7I2V3T0,CD9,CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709],1.310,-0.878,0.388,-1.626,3.19E-03,1.39E-02,7.84E-02,9.23E-03
ENSG00000002586,A0A096LP69,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],2.682,1.235,-0.165,-0.139,9.73E-03,1.02E-03,4.96E-01,4.09E-01
ENSG00000002586,P14209,CD99,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],1.966,0.572,-0.503,-0.296,7.17E-04,3.67E-02,8.54E-02,2.05E-01
ENSG00000102181,Q8TCZ2,CD99L2,CD99 molecule like 2 [Source:HGNC Symbol;Acc:HGNC:18237],1.084,0.735,0.071,-0.747,2.02E-03,3.26E-02,9.78E-01,7.56E-02
ENSG00000140326,Q8IWY9,CDAN1,codanin 1 [Source:HGNC Symbol;Acc:HGNC:1713],0.305,0.355,0.382,0.045,3.01E-03,2.94E-02,1.38E-01,5.20E-01
ENSG00000151465,O75794,CDC123,cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827],1.023,0.080,0.110,0.387,1.64E-04,4.82E-01,4.09E-01,5.56E-02
ENSG00000130177,Q13042,CDC16,cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720],0.429,-0.083,-0.297,0.028,3.51E-04,3.18E-01,2.89E-02,6.07E-01
ENSG00000094880,Q9UJX2,CDC23,cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724],0.087,0.068,0.029,-0.065,1.60E-01,3.17E-01,5.24E-01,7.82E-01
ENSG00000176386,Q8NHZ8,CDC26,cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839],2.379,0.635,0.698,-0.076,3.47E-03,1.69E-01,1.50E-01,7.63E-01
ENSG00000004897,G5EA36,CDC27,cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728],0.232,-0.437,-0.126,0.188,1.34E-01,2.63E-01,8.54E-01,2.60E-01
ENSG00000099804,P49427,CDC34,"cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]",0.235,-0.061,0.011,-0.119,9.80E-03,5.09E-01,8.55E-01,1.65E-01
ENSG00000105401,Q16543,CDC37,"cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]",-0.524,-0.214,-0.099,-0.204,1.01E-04,8.67E-03,6.45E-02,5.45E-02
ENSG00000106993,Q7L3B6,CDC37L1,"cell division cycle 37 like 1, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:17179]",-0.713,-0.112,-0.651,-0.193,2.47E-03,1.89E-01,2.19E-02,2.10E-01
ENSG00000168438,O60508,CDC40,cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350],1.262,-0.137,-0.055,0.255,1.32E-04,8.04E-01,9.55E-01,1.43E-01
ENSG00000070831,P60953,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736],-0.846,0.038,-0.146,-0.187,1.59E-03,9.89E-01,1.72E-01,1.09E-01
ENSG00000143776,Q5VT25,CDC42BPA,CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737],-0.597,-0.114,-0.368,-0.374,3.29E-02,4.97E-01,1.74E-01,1.46E-01
ENSG00000198752,Q9Y5S2,CDC42BPB,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738],-0.683,-0.200,-0.202,-0.357,2.04E-02,3.11E-01,3.02E-01,1.39E-01
ENSG00000128283,Q00587,CDC42EP1,CDC42 effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17014],-1.175,-0.067,-0.408,-0.271,2.95E-04,4.09E-01,3.53E-02,4.53E-02
ENSG00000149798,O14613,CDC42EP2,CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263],-1.738,1.264,-0.242,-0.619,3.51E-03,4.37E-03,2.82E-01,8.15E-02
ENSG00000163171,Q9UKI2,CDC42EP3,CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943],-2.525,-0.258,-0.498,-0.335,3.68E-03,3.01E-01,1.38E-01,1.89E-01
ENSG00000179604,Q9H3Q1,CDC42EP4,CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147],-0.255,-0.379,-0.543,-0.082,1.86E-01,2.39E-01,4.04E-02,7.67E-01
ENSG00000093009,A0A5K1VW85,CDC45,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739],1.909,0.326,0.367,0.728,1.90E-03,2.31E-01,1.95E-01,4.83E-02
ENSG00000096401,Q99459,CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743],1.247,-0.183,-0.053,0.339,6.37E-05,3.99E-01,9.11E-01,6.95E-02
ENSG00000134371,Q6P1J9,CDC73,cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783],1.069,-0.014,0.302,0.446,7.10E-04,8.96E-01,1.37E-01,6.59E-02
ENSG00000184661,E9PEI0,CDCA2,cell division cycle associated 2 [Source:HGNC Symbol;Acc:HGNC:14623],1.810,-0.010,0.834,0.893,1.39E-03,9.91E-01,2.27E-01,2.19E-01
ENSG00000134690,Q53HL2,CDCA8,cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629],2.948,-0.042,0.611,1.123,8.10E-03,9.05E-01,1.56E-01,5.64E-02
ENSG00000140937,P55287,CDH11,cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750],-2.222,0.383,-0.314,-0.613,8.91E-04,6.12E-02,1.04E-01,4.96E-02
ENSG00000140945,P55290,CDH13,cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753],-2.126,0.172,0.188,-1.576,2.75E-02,9.44E-01,9.15E-01,9.79E-02
ENSG00000170558,P19022,CDH2,cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759],-0.346,-0.879,0.061,-0.104,1.14E-01,5.85E-02,9.67E-01,4.83E-01
ENSG00000103502,O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769],-0.815,0.100,-0.121,-0.234,2.50E-03,6.78E-01,4.21E-01,1.33E-01
ENSG00000170312,P06493,CDK1,cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722],2.089,-0.627,0.155,0.576,2.05E-04,4.80E-01,5.27E-01,1.30E-01
ENSG00000248333,P21127,CDK11B,cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729],0.838,-0.090,0.082,0.238,8.98E-04,8.40E-01,4.76E-01,1.26E-01
ENSG00000167258,Q9NYV4,CDK12,cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224],1.089,0.111,0.170,0.261,3.29E-04,5.39E-01,3.11E-01,2.09E-01
ENSG00000065883,A0A2R8Y7W5,CDK13,cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733],-0.168,-0.154,-0.110,-0.069,1.05E-01,2.45E-01,7.97E-01,8.73E-01
ENSG00000102225,Q00536,CDK16,cyclin dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749],0.510,0.878,0.546,0.162,1.76E-02,8.06E-03,8.79E-02,6.40E-01
ENSG00000123374,P24941,CDK2,cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771],1.418,-0.301,0.281,0.510,9.65E-04,7.81E-01,2.96E-01,1.20E-01
ENSG00000135446,P11802,CDK4,cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773],0.571,-0.481,0.010,-0.286,2.35E-05,3.19E-03,7.45E-01,5.45E-02
ENSG00000164885,Q00535,CDK5,cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774],0.870,-0.378,-0.160,-0.078,2.60E-06,2.80E-03,1.68E-01,2.26E-01
ENSG00000136861,Q96SN8,CDK5RAP2,CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672],0.712,0.611,0.470,0.436,1.50E-02,9.64E-03,9.52E-02,1.86E-01
ENSG00000108465,Q96JB5,CDK5RAP3,CDK5 regulatory subunit associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18673],0.049,0.074,0.024,0.020,5.78E-01,3.94E-01,9.20E-01,9.50E-01
ENSG00000105810,Q00534,CDK6,cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777],-0.624,0.666,-0.369,0.492,7.27E-03,9.81E-03,7.54E-02,4.08E-02
ENSG00000134058,P50613,CDK7,cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778],0.431,-0.303,0.025,0.271,1.40E-03,9.34E-02,6.51E-01,7.36E-02
ENSG00000136807,P50750,CDK9,cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780],0.578,-0.101,0.000,0.032,2.58E-03,7.00E-01,8.27E-01,6.63E-01
ENSG00000145996,Q5VV42,CDKAL1,CDK5 regulatory subunit associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21050],1.352,-0.128,0.090,0.073,1.19E-04,6.80E-01,5.26E-01,5.36E-01
ENSG00000147889,K7ES20,CDKN2A,cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787],4.962,-0.282,-0.458,-0.335,5.21E-04,4.90E-01,2.01E-01,1.80E-01
ENSG00000168564,Q9NXV6,CDKN2AIP,CDKN2A interacting protein [Source:HGNC Symbol;Acc:HGNC:24325],0.026,-0.152,-0.084,0.089,9.58E-01,6.83E-02,2.09E-01,5.63E-01
ENSG00000123080,P42773,CDKN2C,cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789],2.453,1.313,0.453,0.692,2.65E-06,3.53E-04,9.65E-02,1.63E-01
ENSG00000109089,Q86X02,CDR2L,cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999],-1.631,-0.122,0.110,0.155,2.02E-04,2.19E-01,5.71E-01,1.34E-01
ENSG00000163624,Q92903,CDS1,CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800],4.073,0.278,0.217,-0.357,2.36E-03,4.60E-01,8.42E-01,4.57E-01
ENSG00000101290,O95674,CDS2,CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801],0.359,0.088,-0.196,-0.032,4.84E-03,3.53E-01,4.40E-02,4.19E-01
ENSG00000091527,Q9UKY7,CDV3,CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928],-0.601,0.158,-0.221,-0.047,2.88E-03,1.21E-01,1.15E-01,7.66E-01
ENSG00000115816,Q03701,CEBPZ,CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218],0.901,-0.225,0.104,0.424,5.18E-04,3.79E-01,3.60E-01,5.22E-02
ENSG00000149187,E9PSH0,CELF1,CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549],0.471,-0.373,-0.123,0.056,4.10E-02,1.51E-01,7.80E-01,4.46E-01
ENSG00000149187,Q92879,CELF1,CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549],-0.171,-0.560,0.086,-0.229,6.85E-02,9.84E-03,4.56E-01,1.08E-01
ENSG00000048740,E9PC62,CELF2,CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550],1.310,1.322,1.777,-0.931,1.44E-02,6.85E-03,1.55E-02,1.00E-01
ENSG00000143126,Q9HCU4,CELSR2,cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231],4.648,1.373,1.372,1.025,1.55E-04,1.78E-01,2.42E-01,2.91E-01
ENSG00000103888,Q8WUJ3,CEMIP,cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213],-4.077,-0.687,-1.431,-3.171,6.61E-03,1.46E-01,7.01E-02,4.75E-02
ENSG00000135048,Q9UHN6,CEMIP2,cell migration inducing hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:11869],0.472,-0.184,-0.030,-0.041,2.16E-02,3.34E-01,8.15E-01,7.07E-01
ENSG00000125817,P07199,CENPB,centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852],0.357,-0.186,0.215,0.227,1.23E-01,6.58E-01,4.26E-01,3.98E-01
ENSG00000117724,P49454,CENPF,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857],1.715,-0.111,0.269,0.562,2.09E-04,8.81E-01,2.97E-01,7.01E-02
ENSG00000153044,B3KVZ3,CENPH,centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268],2.216,-0.617,0.349,0.867,5.90E-04,6.18E-01,3.89E-01,9.75E-02
ENSG00000123219,D6RAX0,CENPK,centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479],2.310,-0.018,0.173,0.948,2.47E-04,8.19E-01,5.63E-01,6.42E-02
ENSG00000031691,Q7L2Z9,CENPQ,centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347],1.840,-0.516,0.286,0.421,1.65E-04,3.78E-01,3.01E-01,1.52E-01
ENSG00000166582,Q7Z7K6,CENPV,centromere protein V [Source:HGNC Symbol;Acc:HGNC:29920],3.349,0.135,0.338,0.726,1.35E-03,3.74E-01,3.72E-01,5.82E-03
ENSG00000154240,Q8N8E3,CEP112,centrosomal protein 112 [Source:HGNC Symbol;Acc:HGNC:28514],0.572,0.767,0.193,-0.003,4.74E-02,9.07E-03,1.75E-01,9.95E-01
ENSG00000141577,I3L2J8,CEP131,centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511],1.139,-0.571,0.395,0.241,2.13E-04,7.73E-02,2.23E-01,1.16E-01
ENSG00000174799,Q66GS9,CEP135,centrosomal protein 135 [Source:HGNC Symbol;Acc:HGNC:29086],1.309,0.005,0.344,0.659,7.66E-04,8.04E-01,1.68E-01,5.09E-02
ENSG00000143702,Q5SW79,CEP170,centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920],-1.185,-0.309,0.400,-0.134,1.56E-05,3.58E-03,2.93E-03,8.22E-02
ENSG00000099814,Q9Y4F5,CEP170B,centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362],-1.663,-0.701,-0.683,-0.423,3.11E-03,4.64E-02,5.45E-02,1.08E-01
ENSG00000126001,Q9BV73,CEP250,centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859],-0.266,0.235,-0.119,-0.217,2.44E-02,8.05E-02,3.13E-01,1.03E-01
ENSG00000198707,A0A6Q8PGB1,CEP290,centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021],-0.623,0.031,0.059,-0.086,6.19E-03,7.53E-01,5.27E-01,7.32E-01
ENSG00000106477,A0A7I2PK71,CEP41,centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370],0.408,0.098,-0.205,-0.016,3.10E-03,2.60E-01,3.13E-01,7.62E-01
ENSG00000213066,O95684,CEP43,centrosomal protein 43 [Source:HGNC Symbol;Acc:HGNC:17012],0.727,-0.249,-0.327,0.129,4.10E-04,1.11E-01,8.14E-02,2.10E-01
ENSG00000164118,D6RC25,CEP44,centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356],-0.194,-0.643,-0.755,-0.096,1.03E-01,5.12E-03,4.07E-02,7.79E-01
ENSG00000138180,Q53EZ4,CEP55,centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161],1.314,-1.776,0.350,1.188,3.35E-02,5.00E-01,5.69E-01,1.12E-01
ENSG00000148019,A0A2R8Y589,CEP78,centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740],1.241,-0.071,-0.006,0.272,3.29E-05,8.54E-01,8.11E-01,1.45E-01
ENSG00000130695,Q6P2H3,CEP85,centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309],0.830,-0.615,-0.100,0.628,3.86E-03,2.39E-01,9.32E-01,7.54E-02
ENSG00000182504,Q8IW35,CEP97,centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244],0.011,-0.689,-0.042,0.546,7.38E-01,4.66E-01,8.75E-01,1.73E-01
ENSG00000134255,Q9Y6K0,CEPT1,choline/ethanolamine phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24289],-0.467,-0.158,-0.117,-0.311,2.29E-03,8.13E-02,1.49E-01,3.58E-02
ENSG00000167123,Q5T4B2,CERCAM,cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723],-2.519,0.037,-0.353,-0.487,4.50E-03,8.81E-01,2.18E-01,1.30E-01
ENSG00000143418,Q5SZE1,CERS2,ceramide synthase 2 [Source:HGNC Symbol;Acc:HGNC:14076],-0.216,-0.325,-0.144,0.125,3.46E-01,3.53E-01,6.30E-01,2.41E-01
ENSG00000139624,H0YI10,CERS5,ceramide synthase 5 [Source:HGNC Symbol;Acc:HGNC:23749],-0.694,-0.124,0.195,0.011,2.54E-03,4.93E-01,6.54E-02,9.02E-01
ENSG00000113163,Q9Y5P4,CERT1,ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205],0.456,-0.016,-0.320,-0.487,3.04E-04,8.95E-01,3.94E-02,4.71E-02
ENSG00000147400,P41208,CETN2,centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867],0.097,0.006,-0.047,-0.083,3.45E-02,9.85E-01,2.05E-01,1.40E-01
ENSG00000087237,H3BRJ9,CETP,cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869],-0.655,0.085,0.160,-0.842,4.96E-02,9.48E-01,8.84E-01,8.88E-02
ENSG00000163885,Q494V2,CFAP100,cilia and flagella associated protein 100 [Source:HGNC Symbol;Acc:HGNC:26842],-2.003,-0.962,-0.397,-0.706,2.43E-03,2.86E-02,1.25E-01,6.42E-02
